Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1965 [YR1965],1970 [YR1970],1975 [YR1975],1980 [YR1980],1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],last_av
Belarus,BLR,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,..,..,..,..,..,..,..,..,0,2,21,37,65
Belarus,BLR,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,..,..,..,..,..,..,..,..,0,3,20,31,62
Belarus,BLR,"Age at first marriage, female",SP.DYN.SMAM.FE,..,..,..,..,..,..,..,..,..,22.7,..,..,22.5
Belarus,BLR,"Age at first marriage, male",SP.DYN.SMAM.MA,..,..,..,..,..,..,..,..,..,..,..,..,24.8
Belarus,BLR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,23.455,19.09,15.976,15.642,16.177,16.5,14,9.9,9.4,9.3,11.4,12.5,9.9
Belarus,BLR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.918,9.079,8.989,9.45,9.9,10.6,10.8,13.1,13.5,14.5,14.5,12.6,12.7
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.67,2.27,2.31,2.17,2.03,2.09,1.913,1.406,1.317,1.252,1.494,1.724,1.448
Belarus,BLR,Length of paid parental leave for father (days),SH.PAR.LEVE.MA,..,..,..,..,..,..,..,..,..,..,..,..,0
Belarus,BLR,Length of paid parental leave for mother (days),SH.PAR.LEVE.FE,..,..,..,..,..,..,..,..,..,..,..,..,0
Belarus,BLR,Length of paid paternity leave (days),SH.PTR.LEVE,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Length of paid maternity leave (days),SH.MMR.LEVE,..,..,..,..,..,..,..,..,..,..,..,..,126
Belarus,BLR,"Rural population, female (% of total)",SP.RUR.TOTL.FE.ZS,..,..,..,..,23.9051661662698,20.92,18.4325957695682,17.2735302777505,16.0188339010218,14.7128815312985,13.4337793699294,12.4082073434125,12.4082073434125
Belarus,BLR,"Rural population, male (% of total)",SP.RUR.TOTL.MA.ZS,..,..,..,..,19.5983021016668,17.25,15.5863144556,14.8002748061635,14.0052093768784,12.9332643559234,11.9481614160784,10.9287257019438,10.9287257019438
Belarus,BLR,"Urban population, male (% of total)",SP.URB.TOTL.MA.ZS,..,..,..,..,26.8454291334507,29.38,31.2798518374111,32.0541760722348,32.8992185934682,33.7092602172788,34.5485196501949,35.4319654427646,35.4319654427646
Belarus,BLR,"Urban population, female (% of total)",SP.URB.TOTL.FE.ZS,..,..,..,..,29.6511025986127,32.45,34.7012379374208,35.8720188438512,37.0767381286315,38.6445938954992,40.0695395637973,41.231101511879,41.231101511879
Belarus,BLR,"Saved any money in the past year, female  (% age 15+)",fin18.t.d.2,..,..,..,..,..,..,..,..,..,..,..,..,53.0466537475586
Belarus,BLR,"Saved any money in the past year, male  (% age 15+)",fin18.t.d.1,..,..,..,..,..,..,..,..,..,..,..,..,47.2420082092285
Belarus,BLR,"Smoking prevalence, males (% of adults)",SH.PRV.SMOK.MA,..,..,..,..,..,..,..,..,64.3,57.8,51.9,47,46.1
Belarus,BLR,"Smoking prevalence, females (% of adults)",SH.PRV.SMOK.FE,..,..,..,..,..,..,..,..,13.3,12.3,11.4,10.6,10.5
Belarus,BLR,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,..,..,..,..,..,..,..,..,..,..,28.9,..,18
Belarus,BLR,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,..,..,..,..,..,..,..,..,..,..,7.9,..,5.5
Estonia,EST,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,"Age at first marriage, female",SP.DYN.SMAM.FE,..,..,..,..,..,..,..,..,24.5,..,..,..,33.6
Estonia,EST,"Age at first marriage, male",SP.DYN.SMAM.MA,..,..,..,..,..,..,..,..,26.7,..,..,..,36.2999999999999
Estonia,EST,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.7,14.6,15.8,14.9,15,15.5,14.2,9.4,9.4,10.6,11.9,10.6,10.9
Estonia,EST,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.5,10.4,11.2,11.6,12.3,12.7,12.4,14.5,13.2,12.8,11.9,11.6,11.9
Estonia,EST,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.98,1.88,2.17,2.04,2.02,2.13,2.05,1.38,1.36,1.52,1.72,1.58,1.67
Estonia,EST,Length of paid parental leave for father (days),SH.PAR.LEVE.MA,..,..,..,..,..,..,..,..,..,..,..,..,0
Estonia,EST,Length of paid parental leave for mother (days),SH.PAR.LEVE.FE,..,..,..,..,..,..,..,..,..,..,..,..,0
Estonia,EST,Length of paid paternity leave (days),SH.PTR.LEVE,..,..,..,..,..,..,..,..,..,..,..,..,10
Estonia,EST,Length of paid maternity leave (days),SH.MMR.LEVE,..,..,..,..,..,..,..,..,..,..,..,..,140
Estonia,EST,"Rural population, female (% of total)",SP.RUR.TOTL.FE.ZS,..,..,..,..,15.9322033898305,15.2987524622456,14.9520766773163,15.4919748778786,15.8241758241758,16.0754716981132,16.320246343341,16.5625,16.5625
Estonia,EST,"Rural population, male (% of total)",SP.RUR.TOTL.MA.ZS,..,..,..,..,14.3728813559322,13.9198949441891,13.8019169329073,14.2358688066992,14.7985347985348,15.2452830188679,15.5504234026174,15.9375,15.9375
Estonia,EST,"Urban population, male (% of total)",SP.URB.TOTL.MA.ZS,..,..,..,..,31.9322033898305,32.5673013788575,32.9712460063898,32.0307048150733,31.2820512820513,30.9433962264151,30.7929176289453,30.46875,30.46875
